variable,importance
EngineOilPressure,0.00020004998746570024
FuelLevel,0.00015003749059927518
AcceleratorPedal,0.00010002499373285012
EngineCoolantTemperature,5.001249686642506e-05
faults_in_last_hr,0.0
spn_5848,0.0
spn_36017,0.0
spn_25780,0.0
spn_17590,0.0
spn_7847,0.0
spn_6802,0.0
spn_6713,0.0
spn_5939,0.0
spn_5862,0.0
spn_5851,0.0
spn_5746,0.0
spn_5835,0.0
spn_51923,0.0
spn_5745,0.0
spn_5743,0.0
spn_5742,0.0
spn_5585,0.0
spn_5571,0.0
spn_5491,0.0
spn_5485,0.0
spn_5444,0.0
spn_50353,0.0
spn_78132,0.0
spn_65535,0.0
fmi_3,0.0
fmi_13,0.0
fmi_12,0.0
fmi_11,0.0
fmi_10,0.0
fmi_9,0.0
fmi_8,0.0
fmi_7,0.0
fmi_5,0.0
fmi_4,0.0
fmi_2,0.0
spn_76339,0.0
fmi_1,0.0
fmi_0,0.0
spn_524287,0.0
spn_523531,0.0
spn_520953,0.0
spn_520203,0.0
spn_520201,0.0
spn_139296,0.0
spn_5442,0.0
spn_5443,0.0
spn_5394,0.0
spn_5397,0.0
spn_4344,0.0
spn_4752,0.0
spn_4376,0.0
spn_4375,0.0
spn_4364,0.0
spn_4363,0.0
spn_4360,0.0
spn_4354,0.0
spn_4349,0.0
spn_4346,0.0
spn_4342,0.0
spn_4792,0.0
spn_4340,0.0
spn_4339,0.0
spn_4334,0.0
spn_4276,0.0
spn_4096,0.0
spn_4095,0.0
spn_4094,0.0
spn_3936,0.0
spn_3821,0.0
spn_4765,0.0
spn_4794,0.0
spn_5396,0.0
spn_5113,0.0
fmi_15,0.0
spn_5392,0.0
spn_5319,0.0
spn_5298,0.0
spn_5246,0.0
spn_5117,0.0
spn_5116,0.0
spn_5115,0.0
spn_5114,0.0
spn_5112,0.0
spn_4795,0.0
spn_5111,0.0
spn_5110,0.0
spn_5109,0.0
spn_5031,0.0
spn_5024,0.0
spn_5019,0.0
spn_4813,0.0
spn_4811,0.0
spn_4796,0.0
fmi_14,0.0
fmi_17,0.0
fmi_16,0.0
month_9,0.0
day_5,0.0
day_4,0.0
day_3,0.0
day_2,0.0
day_1,0.0
day_0,0.0
month_12,0.0
month_11,0.0
month_10,0.0
month_8,0.0
hour_0,0.0
month_7,0.0
month_6,0.0
month_5,0.0
month_4,0.0
month_3,0.0
month_2,0.0
month_1,0.0
nighttime_1,0.0
nighttime_0,0.0
day_6,0.0
hour_1,0.0
spn_3703,0.0
hour_13,0.0
hour_22,0.0
hour_21,0.0
hour_20,0.0
hour_19,0.0
hour_18,0.0
hour_17,0.0
hour_16,0.0
hour_15,0.0
hour_14,0.0
hour_12,0.0
hour_2,0.0
hour_11,0.0
hour_10,0.0
hour_9,0.0
hour_8,0.0
hour_7,0.0
hour_6,0.0
hour_5,0.0
hour_4,0.0
hour_3,0.0
daytime_1,0.0
summer_1,0.0
summer_0,0.0
LampStatus_17663,0.0
LampStatus_255,0.0
LampStatus_22527,0.0
LampStatus_21503,0.0
LampStatus_20735,0.0
LampStatus_2047,0.0
LampStatus_2035,0.0
LampStatus_2,0.0
LampStatus_18431,0.0
LampStatus_18419,0.0
LampStatus_17407,0.0
weekday_1,0.0
LampStatus_16639,0.0
LampStatus_1279,0.0
LampStatus_1023,0.0
LampStatus_0,0.0
fmi_31,0.0
fmi_23,0.0
fmi_20,0.0
fmi_19,0.0
fmi_18,0.0
LampStatus_4351,0.0
LampStatus_50175,0.0
LampStatus_511,0.0
LampStatus_5119,0.0
weekday_0,0.0
year_2018,0.0
year_2017,0.0
year_2016,0.0
year_2015,0.0
ParkingBrake_True,0.0
ParkingBrake_False,0.0
IgnStatus_True,0.0
IgnStatus_False,0.0
CruiseControlActive_True,0.0
CruiseControlActive_False,0.0
active_True,0.0
active_False,0.0
LampStatus_65535,0.0
LampStatus_63487,0.0
LampStatus_62463,0.0
LampStatus_6143,0.0
LampStatus_55295,0.0
LampStatus_544,0.0
spn_3720,0.0
spn_3610,0.0
spn_3698,0.0
spn_444,0.0
spn_614,0.0
spn_612,0.0
spn_611,0.0
spn_609,0.0
spn_596,0.0
spn_576,0.0
spn_563,0.0
spn_558,0.0
spn_512,0.0
spn_412,0.0
spn_627,0.0
spn_411,0.0
spn_256,0.0
spn_252,0.0
spn_251,0.0
spn_248,0.0
spn_245,0.0
spn_237,0.0
spn_228,0.0
spn_191,0.0
spn_624,0.0
spn_628,0.0
spn_188,0.0
spn_655,0.0
